               Credit Union Cherry Blossom 10 Mile Road Race
                              Washington, DC
                           Sunday, April 1, 2007
                  Official Female Results With 10km Split

Place Div  /Tot   Num    Name                   Ag Hometown           Time     Pace  S Split   
===== =========== ====== ====================== == ================== =======  ===== = ======= 
    1     1/728        4 Teyba Erkesso          24 Ethiopia             51:44#  5:11 !   32:06 
    2     2/728       16 Tatyana Petrova        23 Russia Germant.      52:58#  5:18 !   32:47 
    3     1/1083       8 Kathy Butler           33 United Kingdom       53:26#  5:21 !   33:02 
    4     3/728       28 Magdalene Makunzi      24 Kenya                53:45#  5:23 !   33:02 
    5     2/1083      12 Lidia Simon            33 Romania              53:52#  5:24 !   33:20 
    6     3/1083      40 Galina Alexandrova     31 Russia               54:07#  5:25 !   33:20 
    7     1/835       10 Dorota Gruca           36 Poland NJ            54:27#  5:27 !   33:35 
    8     4/728       30 Florence Jepkosgei     23 Kenya                54:56#  5:30 !   33:22 
    9     5/728       22 Aziza Aliyu            21 Ethiopia             55:11#  5:32 !   33:33 
   10     2/835       14 Lioudmila Kortchaguina 35 Canada               55:44#  5:35 !   34:10 
   11     1/1659       6 Alena Samokhvalova     26 Russia               56:40#  5:40 !   34:46 
   12     2/1659      18 Victoria Jackson       25 Tempe AZ             56:46#  5:41 !   35:02 
   13     3/1659      48 Julie Culley           25 Baltimore MD         57:18#  5:44 !   35:27 
   14     6/728       20 Caroline Cretti        22 Boone NC             58:02   5:49 !   36:29 
   15     7/728      209 Kerry Meagher          23 Washington DC        58:14   5:50     36:11 
   16     4/1083      52 Susannah Kvasnicka     34 Great Falls VA       59:05   5:55 !   36:36 
   17     4/1659      54 Heidi Wolfsberger      26 Moosic PA            59:29   5:57 !   36:37 
   18     5/1659     226 Melissa Tanner         26 Bethesda MD          59:40   5:58     37:03 
   19     6/1659      32 Veena Reddy            28 Philadelphia PA    1:00:06   6:01 !   37:12 
   20     5/1083      24 Zika Rea               31 Boone NC           1:00:24   6:03 !   37:34 
   21     7/1659      44 Renee High             25 Suffolk VA         1:00:47   6:05 !   37:28 
   22     1/519      147 Martha Merz            44 Annandale VA       1:01:03*  6:07     37:35 
   23     8/1659     141 Kathleen Liever        28 Alexandria VA      1:01:47   6:11     38:03 
   24     6/1083    1165 Tara Keller            32 Hilliard OH        1:02:21   6:15     38:35 
   25     2/519       65 Kelly Dworak           44 Burke VA           1:02:36*  6:16     38:39 
   26     3/835      170 Brenda Schrank         35 Winchester VA      1:02:52*  6:18     39:02 
   27     9/1659      58 Diana Pool             26 Westminster MD     1:03:00   6:18 !   38:45 
   28     8/728      228 Christine Ramsey       24 Baltimore MD       1:03:03   6:19     39:47 
   29    10/1659     597 Leah McBride           25 Alexandria VA      1:03:07   6:19     39:35 
   30    11/1659     647 Katie Breitenbach      26 Elkridge MD        1:03:30   6:21     39:27 
   31    12/1659     983 Margery Glover         25 Washington DC      1:04:28   6:27     40:06 
   32    13/1659     819 Toni Diegoli           28 Arlington VA       1:04:29   6:27     40:56 
   33     9/728      215 Hirut Mengistu         21 Ethiopia VA        1:04:35   6:28 !   38:52 
   34     7/1083    1428 Michelle Mudge-Riley   30 Glen Allen VA      1:04:38   6:28     40:05 
   35    10/728      207 Alicia Pease           24 Silver Spring MD   1:04:43   6:29     40:25 
   36     4/835      138 Samantha Kirby         38 Arlington VA       1:04:48*  6:29     40:13 
   37     3/519      126 Robyn Humphrey         43 Ellicott City MD   1:04:53*  6:30     40:04 
   38     1/55      1670 Amanda Scheer          19 Wall NJ            1:04:59*  6:30     40:14 
   39     1/382      177 Patti Stewart-Garbrech 45 Orange Park FL     1:05:09*  6:31     40:25 
   40    11/728     1306 Lydia Malley           22 Washington DC      1:05:15   6:32     41:07 
   41     8/1083    1675 Allyson Schindel       32 Glen Allen VA      1:05:17   6:32     40:38 
   42    12/728      865 Betsy Eames            23 Herndon VA         1:05:26   6:33     41:01 
   43     5/835      899 Elizabeth Feldman      39 Chevy Chase MD     1:05:29*  6:33     41:15 
   44     6/835      383 Vicki Lang             38 Columbia MD        1:05:37*  6:34     40:33 
   45     7/835      900 Tacy Feliciano         38 Columbia MD        1:05:39*  6:34     40:32 
   46     2/382      104 Vanessa Cox            45 Laurel MD          1:05:45*  6:35     40:37 
   47     4/519      114 Monica Grillo          42 Arlington VA       1:06:00*  6:36     40:45 
   48    13/728     1507 Amanda Parrish         24 Washington DC      1:06:06   6:37     40:30 
   49    14/1659    1708 Kristina Sherry        25 Arlington VA       1:06:11   6:38     41:25 
   50     3/382      763 Stacy Creamer          47 New York NY        1:06:12*  6:38     41:31 
   51    15/1659    1309 Laura Mancini          28 Washington DC      1:06:16   6:38     41:22 
